First,Second,Third,Fourth,Fifth
1,1,1,-1,1
-1,1,1,-1,1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,-1,-1
1,1,1,-1,-1
-1,1,1,-1,-1
1,1,1,1,-1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,-1,1
-1,1,1,-1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
1,-1,1,1,1
-1,-1,1,-1,1
1,-1,1,1,-1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,1,1
1,-1,1,1,1
-1,-1,1,1,1
1,-1,1,-1,1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,1,1
1,-1,1,1,1
-1,-1,1,1,1
-1,1,-1,-1,1
1,1,-1,-1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,-1,-1
-1,1,-1,-1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,-1,1
1,1,-1,-1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,-1
-1,-1,-1,1,-1
1,-1,-1,1,-1
-1,-1,-1,1,-1
1,-1,-1,1,-1
-1,-1,-1,1,1
1,-1,-1,1,1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,1,1
1,-1,-1,1,-1
-1,-1,-1,1,-1
1,-1,-1,1,-1
-1,-1,-1,1,1
1,-1,-1,1,1
1,1,1,-1,-1
-1,1,1,-1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,1
-1,1,1,-1,1
1,1,1,-1,1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,-1
1,1,1,-1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,1,1
1,-1,1,1,1
-1,-1,1,-1,1
1,-1,1,1,1
-1,-1,1,1,1
1,-1,1,1,1
-1,-1,1,1,1
1,-1,1,1,1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,-1,-1
1,-1,1,-1,1
-1,-1,1,-1,1
1,-1,1,1,1
-1,-1,1,1,1
1,-1,1,1,-1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,1,1
-1,1,-1,-1,-1
1,1,-1,-1,-1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,-1,1
1,1,-1,1,1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,-1,-1,1,-1
1,-1,-1,-1,-1
-1,-1,-1,1,-1
1,-1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,-1
-1,-1,-1,1,-1
1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,-1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,-1
-1,-1,-1,1,-1
1,-1,-1,1,-1
1,1,1,-1,-1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,-1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,-1,1,-1,-1
-1,-1,1,-1,-1
1,-1,1,-1,-1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,1,1
1,-1,1,1,1
-1,-1,1,1,1
1,-1,1,1,1
-1,-1,1,1,1
1,-1,1,-1,-1
-1,-1,1,-1,-1
1,-1,1,-1,-1
-1,-1,1,-1,-1
1,-1,1,-1,1
-1,-1,1,1,1
1,-1,1,1,1
-1,-1,1,1,1
1,-1,1,1,-1
-1,-1,1,1,-1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,-1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,-1,1
1,1,-1,-1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,-1,-1
1,-1,-1,1,-1
-1,-1,-1,1,-1
1,-1,-1,1,-1
-1,-1,-1,1,-1
1,-1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,-1,-1
1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,-1,-1,-1,1
-1,-1,-1,1,1
1,-1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,-1
1,1,1,1,1
-1,1,1,1,1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,-1,-1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,-1,1
-1,1,1,-1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,1,1
1,-1,1,-1,1
-1,-1,1,-1,1
1,-1,1,-1,1
-1,-1,1,1,1
1,-1,1,1,-1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,1,1
1,-1,1,-1,1
-1,-1,1,-1,1
1,-1,1,-1,1
-1,-1,1,-1,-1
1,-1,1,-1,-1
-1,-1,1,-1,-1
1,-1,1,1,1
-1,-1,1,1,1
1,-1,1,1,1
-1,-1,1,1,-1
-1,1,-1,1,1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,1,1
-1,1,-1,-1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,-1,-1
1,1,-1,-1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,1,1
1,-1,-1,1,1
-1,-1,-1,1,-1
1,-1,-1,1,-1
-1,-1,-1,1,-1
1,-1,-1,-1,-1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,-1,-1
1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,-1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,1
1,1,1,-1,-1
-1,1,1,-1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,1
-1,1,1,-1,1
1,1,1,-1,1
-1,1,1,-1,1
1,1,1,1,1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,-1,-1
1,1,1,-1,-1
-1,1,1,-1,-1
1,1,1,-1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,-1
-1,1,1,-1,-1
1,-1,1,-1,-1
-1,-1,1,-1,-1
1,-1,1,-1,1
-1,-1,1,-1,1
1,-1,1,1,1
-1,-1,1,1,1
1,-1,1,1,1
-1,-1,1,1,-1
1,-1,1,1,-1
-1,-1,1,-1,-1
1,-1,1,-1,-1
-1,-1,1,-1,1
1,-1,1,-1,1
-1,-1,1,-1,1
1,-1,1,-1,1
-1,-1,1,-1,-1
1,-1,1,-1,-1
-1,-1,1,1,-1
1,-1,1,1,1
-1,-1,1,1,1
-1,1,-1,-1,-1
1,1,-1,-1,-1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,1,1
1,1,-1,-1,1
-1,1,-1,-1,1
1,1,-1,-1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,-1,-1
-1,1,-1,-1,-1
1,1,-1,-1,-1
-1,1,-1,-1,-1
1,1,-1,1,-1
-1,1,-1,1,-1
1,1,-1,1,-1
-1,1,-1,-1,-1
1,1,-1,-1,-1
-1,-1,-1,-1,-1
1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,-1,-1,-1,-1
-1,-1,-1,-1,1
1,-1,-1,1,1
-1,-1,-1,1,1
1,-1,-1,1,1
-1,-1,-1,-1,1
1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,-1,-1,-1,-1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,-1,-1,-1,-1
-1,-1,-1,1,1
1,-1,-1,1,1
1,1,1,-1,-1
-1,1,1,-1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,1,1
-1,1,1,-1,-1
1,1,1,-1,-1
-1,1,1,-1,-1
1,1,1,1,-1
-1,1,1,1,-1
1,1,1,1,1
-1,1,1,-1,1
1,1,1,-1,1
-1,1,1,-1,1
1,1,1,-1,1
-1,1,1,-1,1
1,1,1,1,1
-1,1,1,1,1
1,1,1,-1,1
-1,1,1,-1,1
1,-1,1,-1,1
-1,-1,1,-1,-1
1,-1,1,-1,-1
-1,-1,1,-1,-1
1,-1,1,-1,-1
-1,-1,1,1,-1
1,-1,1,1,1
-1,-1,1,1,1
1,-1,1,-1,1
-1,-1,1,-1,1
1,-1,1,-1,-1
-1,-1,1,-1,-1
1,-1,1,-1,-1
-1,-1,1,-1,1
1,-1,1,-1,1
-1,-1,1,-1,1
1,-1,1,-1,-1
-1,-1,1,-1,-1
1,-1,1,1,-1
-1,-1,1,1,1
-1,1,-1,-1,1
1,1,-1,-1,1
-1,1,-1,-1,1
1,1,-1,1,1
-1,1,-1,-1,-1
1,1,-1,-1,-1
-1,1,-1,-1,-1
1,1,-1,-1,-1
-1,1,-1,-1,1
1,1,-1,1,1
-1,1,-1,-1,1
1,1,-1,-1,1
-1,1,-1,-1,1
1,1,-1,-1,1
-1,1,-1,-1,1
1,1,-1,-1,1
-1,1,-1,1,1
1,1,-1,1,1
-1,1,-1,-1,1
1,1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,-1,-1,-1,-1
-1,-1,-1,1,-1
1,-1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,-1,-1,-1,-1
-1,-1,-1,-1,1
1,-1,-1,-1,1
-1,-1,-1,-1,1
1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1,-1,-1,1,-1
1,1,1,-1,1
-1,1,1,-1,1
1,1,1,-1,1
-1,1,1,1,-1
1,1,1,-1,-1
-1,1,1,-1,-1
1,1,1,-1,-1
-1,1,1,-1,1
1,1,1,-1,1
-1,1,1,1,1
1,1,1,-1,1
-1,1,1,-1,1
1,1,1,-1,1
-1,1,1,-1,-1
1,1,1,-1,-1
-1,1,1,-1,-1
1,1,1,1,-1
-1,1,1,-1,-1
